"Id";"Value"
5467;"abe"
6527;"åbo"
6044;"abs"
5513;"adj"
6081;"adt"
5519;"adv"
5459;"åen"
5461;"åer"
5531;"aet"
5466;"åge"
6119;"agf"
5559;"agn"
5562;"agt"
5604;"ajo"
5539;"åke"
5637;"aks"
5636;"akt"
5581;"åle"
5663;"alf"
5627;"ali"
5669;"alk"
5673;"alp"
5632;"als"
5677;"alt"
5694;"amt"
6243;"amu"
5680;"amy"
6251;"anc"
5616;"ånd"
5704;"ane"
6254;"ang"
5691;"ani"
6274;"aof"
6303;"aps"
5763;"ard"
5703;"åre"
5764;"arg"
5707;"årh"
5766;"ark"
5767;"arm"
5755;"arn"
5769;"arp"
5773;"art"
5776;"arv"
5760;"årø"
5700;"åsa"
5719;"åse"
5786;"ask"
5787;"asp"
6350;"atc"
5817;"atm"
6361;"atp"
6364;"ats"
6367;"aud"
5835;"ave"
5839;"avl"
5860;"aye"
5872;"ayo"
5989;"båd"
5993;"bag"
5998;"bah"
6005;"baj"
6004;"bak"
5999;"bål"
6015;"ban"
6021;"bar"
6013;"bås"
6017;"båt"
5976;"bay"
6065;"bed"
6069;"beg"
6076;"ben"
6075;"beo"
6082;"bet"
6134;"bid"
6132;"bie"
5542;"bif"
6141;"bil"
6142;"bio"
6143;"bip"
6144;"bis"
6146;"bit"
6279;"blå"
6186;"ble"
6200;"blu"
6201;"bly"
5619;"bmi"
5622;"bmp"
5629;"bnp"
6248;"boa"
6252;"bod"
6235;"boe"
6253;"bog"
6256;"bol"
6255;"bom"
6257;"bon"
6259;"bop"
6261;"bor"
6263;"bov"
5722;"brl"
6311;"bro"
5724;"brt"
6369;"bræ"
5740;"bsd"
5752;"bst"
5757;"btu"
6352;"bud"
6351;"bue"
6353;"bug"
6355;"buh"
6356;"buk"
6358;"bul"
6357;"bum"
6365;"bur"
6363;"bus"
6414;"byg"
6026;"bæh"
6028;"bæk"
6030;"bær"
6331;"bød"
6332;"bøf"
6339;"bøg"
6336;"bøh"
6341;"bøn"
6345;"bør"
6346;"bøs"
5927;"cad"
6506;"cai"
5934;"cam"
6524;"cap"
6510;"cay"
6042;"cfs"
6051;"cga"
5509;"chi"
6086;"cia"
5529;"cis"
6193;"cop"
5634;"cos"
5633;"cot"
6225;"cpr"
6228;"cpu"
5710;"cru"
6280;"csk"
6310;"cup"
6370;"cyp"
6379;"czk"
5898;"dåb"
5907;"dag"
5916;"dal"
5915;"dam"
5921;"das"
6468;"dat"
5922;"dav"
5957;"dea"
6000;"dej"
6006;"del"
6010;"den"
6018;"der"
5970;"des"
6022;"det"
6061;"dia"
6063;"die"
6064;"dig"
6070;"dik"
5469;"din"
6077;"dip"
6078;"dis"
6079;"dit"
5540;"dmi"
5549;"dmu"
5554;"dna"
5560;"dns"
6166;"dog"
6168;"dok"
6169;"dom"
6159;"don"
5589;"dos"
6174;"dot"
6188;"dpi"
6307;"dræ"
5651;"dsb"
5687;"dth"
6284;"dtp"
5693;"dtu"
6289;"due"
6290;"dug"
6296;"dum"
6298;"dun"
6297;"duo"
6299;"dup"
6302;"dur"
6301;"dus"
6304;"dut"
6349;"dyb"
6354;"dyk"
6359;"dyn"
6360;"dyp"
6362;"dyr"
6366;"dyt"
5929;"dæk"
6276;"døn"
6282;"dør"
6285;"døs"
6286;"døv"
5880;"ean"
5894;"ecb"
6482;"ecu"
6472;"eda"
5900;"edb"
6475;"edi"
6483;"edy"
5400;"efg"
5959;"ega"
5414;"egn"
5416;"ego"
5422;"egu"
5431;"eia"
5444;"eik"
5460;"eis"
5464;"eja"
6052;"ekf"
6055;"ekg"
5489;"eks"
5505;"elg"
5481;"eli"
5511;"elm"
5487;"elo"
5517;"elv"
6090;"ems"
5530;"emu"
5521;"ena"
5537;"end"
5538;"eng"
5525;"eno"
5545;"ens"
5548;"eos"
6139;"epo"
6192;"esp"
5647;"eta"
5652;"etb"
6204;"etc"
6234;"eud"
6240;"eur"
5682;"eva"
5688;"evi"
5695;"evy"
5731;"eya"
5754;"eza"
6216;"eøs"
5857;"fad"
5858;"fag"
5866;"fan"
6416;"fao"
6419;"faq"
5867;"får"
5871;"fas"
5874;"fat"
