"Id";"Offset";"Word_Id";"Letter_Id"
5714;0;5398;8
5715;1;5398;13
5716;2;5398;5
5717;0;5399;10
5718;1;5399;13
5719;2;5399;26
5720;0;5400;4
5721;1;5400;5
5722;2;5400;6
5723;0;5401;10
5724;1;5401;17
5725;2;5401;14
5726;0;5402;5
5727;1;5402;8
5728;2;5402;12
5729;0;5403;19
5730;1;5403;4
5731;2;5403;28
5732;0;5404;10
5733;1;5404;17
5734;2;5404;24
5735;0;5405;19
5736;1;5405;4
5737;2;5405;3
5738;0;5406;13
5739;1;5406;25
5740;2;5406;3
5741;0;5407;19
5742;1;5407;4
5743;2;5407;9
5744;0;5408;19
5745;1;5408;4
5746;2;5408;12
5747;0;5409;19
5748;1;5409;4
5749;2;5409;14
5750;0;5410;5
5751;1;5410;9
5752;2;5410;3
5753;0;5411;17
5754;1;5411;28
5755;2;5411;13
5756;0;5412;17
5757;1;5412;28
5758;2;5412;18
5759;0;5413;8
5760;1;5413;14
5761;2;5413;13
5762;0;5414;4
5763;1;5414;6
5764;2;5414;13
5765;0;5415;21
5766;1;5415;8
5767;2;5415;28
5768;0;5416;4
5769;1;5416;6
5770;2;5416;14
5771;0;5417;17
5772;1;5417;28
5773;2;5417;1
5774;0;5418;21
5775;1;5418;8
5776;2;5418;4
5777;0;5419;17
5778;1;5419;28
5779;2;5419;3
5780;0;5420;21
5781;1;5420;8
5782;2;5420;3
5783;0;5421;21
5784;1;5421;8
5785;2;5421;6
5786;0;5422;4
5787;1;5422;6
5788;2;5422;20
5789;0;5423;20
5790;1;5423;7
5791;2;5423;5
5792;0;5424;10
5793;1;5424;27
5794;2;5424;1
5795;0;5426;17
5796;1;5426;28
5797;2;5426;6
5798;0;5427;10
5799;1;5427;27
5800;2;5427;3
5801;0;5428;21
5802;1;5428;8
5803;2;5428;11
5804;0;5429;17
5805;1;5429;28
5806;2;5429;10
5807;0;5430;21
5808;1;5430;8
5809;2;5430;13
5810;0;5431;4
5811;1;5431;8
5812;2;5431;28
5813;0;5432;17
5814;1;5432;28
5815;2;5432;11
5816;0;5433;19
5817;1;5433;4
5818;2;5433;13
5819;0;5434;21
5820;1;5434;8
5821;2;5434;18
5822;0;5435;10
5823;1;5435;27
5824;2;5435;11
5825;0;5436;10
5826;1;5436;27
5827;2;5436;13
5828;0;5437;17
5829;1;5437;28
5830;2;5437;15
5831;0;5438;17
5832;1;5438;28
5833;2;5438;19
5834;0;5439;19
5835;1;5439;4
5836;2;5439;17
5837;0;5440;20
5838;1;5440;7
5839;2;5440;19
5840;0;5441;10
5841;1;5441;27
5842;2;5441;18
5843;0;5442;10
5844;1;5442;27
5845;2;5442;17
5846;0;5444;4
5847;1;5444;8
5848;2;5444;10
5849;0;5445;17
5850;1;5445;28
5851;2;5445;21
5852;0;5446;6
5853;1;5446;11
5854;2;5446;14
5855;0;5447;17
5856;1;5447;26
5857;2;5447;1
5858;0;5448;17
5859;1;5448;26
5860;2;5448;3
5861;0;5449;27
5862;1;5449;9
5863;2;5449;4
5864;0;5450;18
5865;1;5450;4
5866;2;5450;10
5867;0;5451;10
5868;1;5451;20
5869;2;5451;4
5870;0;5452;12
5871;1;5452;24
5872;2;5452;6
5873;0;5453;17
5874;1;5453;26
5875;2;5453;18
5876;0;5454;10
5877;1;5454;20
5878;2;5454;11
5879;0;5455;17
5880;1;5455;26
5881;2;5455;21
5882;0;5456;10
5883;1;5456;20
5884;2;5456;13
5885;0;5457;10
5886;1;5457;20
5887;2;5457;15
